date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:05:49	106361/106361	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52c0b-19f79%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/text-utilities.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/text-utilities.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:50	79227/79227	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52c0b-1357b%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/color-palette.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/color-palette.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:50	196192/196192	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52c0b-2fe60%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/icons-feather.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/icons-feather.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:50	86191/86191	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf1-150af%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/icons-font-awesome.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/icons-font-awesome.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:51	140184/140184	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf1-22398%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/icons-simple-line.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/icons-simple-line.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:51	92533/92533	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52c0b-16975%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-buttons.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-buttons.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:51	80580/80580	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf1-13ac4%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-alerts.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-alerts.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:51	77701/77701	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52c0b-12f85%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-badges.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-badges.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:52	96046/96046	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52c0b-1772e%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-dropdowns.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-dropdowns.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:52	86763/86763	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf1-152eb%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-media-objects.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-media-objects.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:53	78208/78208	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52c0b-13180%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-pagination.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-pagination.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:53	76051/76051	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf1-12913%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-progress.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-progress.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:53	127060/127060	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf2-1f054%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-modals.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-modals.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:53	95519/95519	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf2-1751f%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-collapse.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-collapse.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:54	77269/77269	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf2-12dd5%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-lists.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-lists.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:54	79530/79530	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52c0b-136aa%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-carousel.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-carousel.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:54	87562/87562	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52c0b-1560a%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-popover.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-popover.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:54	97515/97515	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52c0b-17ceb%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-tabs.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-tabs.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:55	84897/84897	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf2-14ba1%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-tooltip.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-tooltip.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:55	75747/75747	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf2-127e3%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-spinner.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-spinner.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
08:05:55	74236/74236	---MCZ	200	added ('OK')	text/html	etag:W/%225ed52cf1-121fc%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-toast.html	C:/Users/Administrator/Downloads/mre/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/components-toast.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-1/dashboard2.html)
